header_rows,2,data_rows,45,columns,10
"DVB-S2 RECEIVER PERFORMANCE (64800 b frames measured at 30Msps)",,,,,,,,,
ID,MODCOD,Es/No [dB] (QEF),Spectral Efficiency (bits/symb),LDPC FEC Rate,BCH Rate,Encoded Spectral Efficiency (data bits/ symb),MOD,LDPC CODE IDENTIFIER,Eb/No [dB] (QEF)
0,QPSK 1/4,-1.6000000000000000,2,0.2500000000000000,0.9881481481481480,0.4940740740740740,QPSK,1/4,1.4620793457845700
1,QPSK 1/3,-0.9000000000000000,2,0.3333333333333330,0.9911111111111110,0.6607407407407410,QPSK,1/3,0.8996891411888300
2,QPSK 2/5,0.1000000000000000,2,0.4000000000000000,0.9925925925925930,0.7940740740740740,QPSK,2/5,1.1013898313825500
3,QPSK 1/2,1.3000000000000000,2,0.5000000000000000,0.9940740740740740,0.9940740740740740,QPSK,1/2,1.3258125266203300
4,QPSK 3/5,2.7000000000000000,2,0.6000000000000000,0.9950617283950620,1.1940740740740700,QPSK,3/5,1.9296873102593400
5,QPSK 2/3,3.3000000000000000,2,0.6666666666666670,0.9962962962962960,1.3283950617284000,QPSK,2/3,2.0667274754827900
6,QPSK 3/4,4.2000000000000000,2,0.7500000000000000,0.9960493827160490,1.4940740740740700,QPSK,3/4,2.4562787028224100
7,QPSK 4/5,4.9000000000000000,2,0.8000000000000000,0.9962962962962960,1.5940740740740700,QPSK,4/5,2.8749150150065500
8,QPSK 5/6,5.4000000000000000,2,0.8333333333333330,0.9970370370370370,1.6617283950617300,QPSK,5/6,3.1943995899069200
9,QPSK 8/9,6.4000000000000000,2,0.8888888888888890,0.9977777777777780,1.7738271604938300,QPSK,8/9,3.9108869955542100
10,QPSK 9/10,6.6000000000000000,2,0.9000000000000000,0.9978052126200270,1.7960493827160500,QPSK,9/10,4.0568172649597500
11,8PSK 3/5,5.9000000000000000,3,0.6000000000000000,0.9950617283950620,1.7911111111111100,8PSK,3/5,3.3687747197025300
12,8PSK 2/3,6.9000000000000000,3,0.6666666666666670,0.9962962962962960,1.9925925925925900,8PSK,2/3,3.9058148849259800
13,8PSK 3/4,8.2000000000000000,3,0.7500000000000000,0.9960493827160490,2.2411111111111100,8PSK,3/4,4.6953661122655900
14,8PSK 5/6,9.6000000000000000,3,0.8333333333333330,0.9970370370370370,2.4925925925925900,8PSK,5/6,5.6334869993501000
15,8PSK 8/9,10.9000000000000000,3,0.8888888888888890,0.9977777777777780,2.6607407407407400,8PSK,8/9,6.6499744049973900
16,8PSK 9/10,11.2000000000000000,3,0.9000000000000000,0.9978052126200270,2.6940740740740700,8PSK,9/10,6.8959046744029400
17,16APSK 2/3,9.3000000000000000,4,0.6666666666666670,0.9962962962962960,2.6567901234567900,16APSK,2/3,5.0564275188429800
18,16APSK 3/4,10.5000000000000000,4,0.7500000000000000,0.9960493827160490,2.9881481481481500,16APSK,3/4,5.7459787461825900
19,16APSK 4/5,11.4000000000000000,4,0.8000000000000000,0.9962962962962960,3.1881481481481500,16APSK,4/5,6.3646150583667300
20,16APSK 5/6,11.9000000000000000,4,0.8333333333333330,0.9970370370370370,3.3234567901234600,16APSK,5/6,6.6840996332671100
21,16APSK 8/9,13.1000000000000000,4,0.8888888888888890,0.9977777777777780,3.5476543209876500,16APSK,8/9,7.6005870389143900
22,16APSK 9/10,13.3000000000000000,4,0.9000000000000000,0.9978052126200270,3.5920987654321000,16APSK,9/10,7.7465173083199400
36,8APSK 5/9,4.7300000000000000,3,0.5555555555555560,0.9946666666666670,1.6577777777777800,8APSK,5/9,2.5347368630267500
37,8APSK 26/45,5.1300000000000000,3,0.5777777777777780,0.9948717948717950,1.7244444444444400,8APSK,26/45,2.7635079251715500
38,8APSK 23/36,6.1200000000000000,3,0.6388888888888890,0.9953623188405800,1.9077777777777800,8APSK,23/36,3.3147221427840800
39,8APSK 25/36,7.0200000000000000,3,0.6944444444444440,0.9957333333333330,2.0744444444444400,8APSK,25/36,3.8509819149024700
40,8APSK 13/18,7.4900000000000000,3,0.7222222222222220,0.9958974358974360,2.1577777777777800,8APSK,13/18,4.1499328386733900
54,32APSK 2/3,11.1000000000000000,5,0.6666666666666670,0.9955555555555560,3.3185185185185200,32APSK,2/3,5.8905575449686200
55,32APSK 32/45,11.7500000000000000,5,0.7111111111111110,0.9958333333333330,3.5407407407407400,32APSK,32/45,6.2590587188288700
56,32APSK 11/15,12.1700000000000000,5,0.7333333333333330,0.9959595959595960,3.6518518518518500,32APSK,11/15,6.5448684921777600
57,32APSK 7/9,13.0500000000000000,5,0.7777777777777780,0.9961904761904760,3.8740740740740700,32APSK,7/9,7.1683207962773200
58,64APSK 32/45,13.9800000000000000,6,0.7111111111111110,0.9958333333333330,4.2488888888888900,64APSK,32/45,7.6972462583526200
59,64APSK 11/15,14.8100000000000000,6,0.7333333333333330,0.9959595959595960,4.3822222222222200,64APSK,11/15,8.3930560317015100
60,64APSK 7/9,15.4700000000000000,6,0.7777777777777780,0.9961904761904760,4.6488888888888900,64APSK,7/9,8.7965083358010700
61,64APSK 4/5,15.8700000000000000,6,0.8000000000000000,0.9962962962962960,4.7822222222222200,64APSK,4/5,9.0737024678099200
62,64APSK 5/6,16.5500000000000000,6,0.8333333333333330,0.9970370370370370,4.9851851851851800,64APSK,5/6,9.5731870427102900
63,128APSK 3/4,17.7300000000000000,7,0.7500000000000000,0.9960493827160490,5.2292592592592600,128APSK,3/4,10.5455982593197000
64,128APSK 7/9,18.5300000000000000,7,0.7777777777777780,0.9961904761904760,5.4237037037037000,128APSK,7/9,11.1870404394949000
65,256APSK 29/45,16.9800000000000000,8,0.6444444444444440,0.9954022988505750,5.1318518518518500,256APSK,29/45,9.8772588948571600
66,256APSK 2/3,17.2400000000000000,8,0.6666666666666670,0.9955555555555560,5.3096296296296300,256APSK,2/3,9.9893577184093700
67,256APSK 31/45,18.1000000000000000,8,0.6888888888888890,0.9956989247311830,5.4874074074074100,256APSK,31/45,10.7063279482113000
68,256APSK 32/45,18.5900000000000000,8,0.7111111111111110,0.9958333333333330,5.6651851851851900,256APSK,32/45,11.0578588922696000
69,256APSK 11/15,18.8400000000000000,8,0.7333333333333330,0.9959595959595960,5.8429629629629600,256APSK,11/15,11.1736686656185000
70,256APSK 3/4,19.5700000000000000,8,0.7500000000000000,0.9960493827160490,5.9762962962963000,256APSK,3/4,11.8056787895428000
